Factory Name,Factory Type,Product Type,"Nike, Inc. Brand(s)",Supplier Group,City,State,Postal Code,Country/Region,Region,Total Workers
"XIAMEN EXPANDING INDUSTRIAL CO., LTD",FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),XIAMEN,FUJIAN,361000,China,N ASIA,76
"XINCHANG SHOES CO.,LTD",FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,DEAN SHOES,XINNING,GUANGDONG,510000,China,N ASIA,4661
YANCHENG XINBO GARMENTS CO LTD,FINISHED GOODS,APPAREL,Converse,DƒCOR,YANCHENG,JIANGSU,224007,China,N ASIA,184
"YANGZHOU BAOYI SHOES MANUFACTURING CO.,LTD.",FINISHED GOODS,FOOTWEAR,Converse,LAI YIH,YANG ZHOU,JIANGSU,225009,China,N ASIA,2508
"YEGIN INDUSTRY (VIETNAM) CO., LTD",FINISHED GOODS,EQUIPMENT,NIKE,YEGIN,TAN PHUOC DISTRICT,TIN GIANG,863900,Vietnam,SE ASIA,1084
YESIM TEKSTIL SANAYI VE TICARETÊ A.S.,MATERIALS,MATERIALS,NIKE,YESIM,BURSA,BURSA,16580,Turkey,EMEA,
YESTERWEAR,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),LUMBERTON,NEW JERSEY,8048,United States of America,AMERICAS,72
YICHANE CO.LTD,FINISHED GOODS,EQUIPMENT,NIKE,NO GROUP (EQ),TAINAN,TAINAN,709,Taiwan,N ASIA,30
"YICHUN YISEN INDUSTRY CO., LTD",FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,POU CHEN,YICHUN CITY,,336000,China,N ASIA,3211
YIECHANG,FINISHED GOODS,EQUIPMENT,NIKE,NO GROUP (EQ),FENG YUAN,TAICHUNG,42084,Taiwan,N ASIA,33
"YONGZHOU KAIXIANG SHOETOWN FOOTWEAR CO., LTD. NOT A FINISHED GOODS FACILITY",FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,SHOETOWN,YONGZHOU,HUNAN,425900,China,N ASIA,1368
"YONGZHOU KAIXIN SHOETOWN FOOTWEAR CO., LTD.",FINISHED GOODS,FOOTWEAR,NIKE,SHOETOWN,YONG ZHOU,HUNAN,425300,China,N ASIA,725
YOU YOUNG,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,NO GROUP (FW),BUSAN,BUSAN GWANGYEOGSI,49432,South Korea,N ASIA,168
YOU YOUNG (KOREA),MATERIALS,MATERIALS,"NIKE, Converse",YOU YOUNGÊ,BUSAN,,,South Korea,N ASIA,
YOU YOUNG (VIETNAM),MATERIALS,MATERIALS,NIKE,YOU YOUNGÊ,BEN CAT,BINH DUONG,0,Vietnam,SE ASIA,
"YOUNG POONG TEXTILE CO., LTD",MATERIALS,MATERIALS,NIKE,JOONGANG,BUSAN,SOUTH GYEONGSANG,604-838,South Korea,N ASIA,
YOUNGIL (VIETNAM),FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,YOUNGIL LEATHER,TAY NINH,TåY NINH,,Vietnam,SE ASIA,1
"YRC TEXTILE CO.,LTD.",MATERIALS,MATERIALS,NIKE,YRC,KRATOOMBAN,SAMUTSAKORN,74130,Thailand,SE ASIA,
"YUAN LING KNITTING INDUSTRIAL CO., LTD.",FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,NO GROUP (AP),CHANGHUA CITY,CHANGHUA,50083,Taiwan,N ASIA,308
"YUMEI SHANTOU GARMENTS CO., LTD",FINISHED GOODS,APPAREL,NIKE,EAGLE NICE,SHANTOU,GUANGDONG,515041,China,N ASIA,2415
"ZAO ZHUANG RUIXING SHOES CO., LTD",FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,CHANGSHIN,ZAOZHUANG CITY,SHANDONG,250011,China,N ASIA,1617
"ZHANGJIAGANG NEW HUAYUAN ACCESSONES CO., LTD",FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),ZHANGJIAGANG,JIANGSU,215600,China,N ASIA,91
"ZHANGJIAJIE EXCELLENCE SPORT PRODUCTS CO., LTD.",FINISHED GOODS,EQUIPMENT,NIKE,ALPUS,ZHANGJIAJIE,HUNAN,427200,China,N ASIA,279
"ZHEJIANG CLIS FASHION CO., LTD.",FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),HANGZHOU,ZHEJIANG,310012,China,N ASIA,41
ZHEJIANG GUANGTAI DELTA SOCKS CO. LTD.,FINISHED GOODS,EQUIPMENT,NIKE,DELTA,"CAOTA TOWN, ZHUJI",ZHEJIANG,311812,China,N ASIA,302
"ZHEJIANG QIAOER TINGTING GARMENT CO., LTD",FINISHED GOODS,APPAREL,NIKE,DELTA,SHANGYU CITY,ZHEJIANG,312300,China,N ASIA,1195
ZHENJIANG TUNTEX GARMENT CO LTD.,FINISHED GOODS,APPAREL,NIKE,TUNTEX,ZHENJIANG,JIANGSU,212400,China,N ASIA,493
ZHONGSHAN CITY BANFU TOWN GANG YI KNITTING FACTORY,FINISHED GOODS,EQUIPMENT,Converse,ZHONGSHAN,ZHONG SHAN CITY,GUANGDONG,528459,China,N ASIA,118
"ZHONGSHAN ZHIJIE FOOTWEAR TECHNICAL SERVICE CO.,LTD",FINISHED GOODS,FOOTWEAR,Converse,HUALI,ZHONGSHAN,GUANGDONG,528451,China,N ASIA,494
"ZHUJI HENGTAI KNITTING & TEXTILE CO., LTD.",FINISHED GOODS,EQUIPMENT,NIKE,DELTA,ZHUJI,ZHEJIANG,311812,China,N ASIA,305
