Factory Name,Factory Type,Product Type,"Nike, Inc. Brand(s)",Supplier Group,City,State,Postal Code,Country/Region,Region,Total Workers
EL BARON,FINISHED GOODS,APPAREL,NIKE,TEGRA,SAN PEDRO SULA,CORTƒS,,Honduras,AMERICAS,3328
"ELITE INVESTMENT WORLDWIDE CO., LTD",FINISHED GOODS,APPAREL,NIKE,TUNG MUNG,HO CHI MINH,HO CHI MINH,700000,Vietnam,SE ASIA,1681
ELTA COMPANY LIMITED,FINISHED GOODS,APPAREL,NIKE,ELTA,BANGKOK,BANGKOK,10520,Thailand,SE ASIA,245
"E-TOP (VIETNAM) CO.,LTD",FINISHED GOODS,APPAREL,NIKE,ECLAT,BA RIA-VUNG TAU,BË RA - VUNG TËU,795600,Vietnam,SE ASIA,3732
EVER TECH,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,NO GROUP (FW),TAN UYEN DISTRICT,BíNH DUONG,84,Vietnam,SE ASIA,674
EVEREST TEXTILE,MATERIALS,MATERIALS,NIKE,EVEREST,TAINAN CITY,T'AI-WAN,74342,Taiwan,N ASIA,
EVEREST TEXTILE CHINA,MATERIALS,MATERIALS,NIKE,EVEREST,SHANGHAI,SHANGHAI,201419,China,N ASIA,
"EVEREST TEXTILE CO., LTD.Ê",MATERIALS,MATERIALS,NIKE,EVEREST,RATCHABURI,CENTRAL,70110,Thailand,SE ASIA,
EVERGREEN APPAREL MFG.,FINISHED GOODS,APPAREL,NIKE,YY & ASSOCIATES,HILLSBORO,OREGON,97124,United States of America,AMERICAS,24
FA.IS.A. D.O.O.,FINISHED GOODS,EQUIPMENT,NIKE,NO GROUP (EQ),NOVIGRAD,,52466,Croatia,EMEA,43
FAIRWAY ENTERPRISES COMPANY LTD (FENG TAY),FINISHED GOODS,FOOTWEAR,NIKE,FENG TAY,KRISHNAGIRI,TAMIL NADU,635304,India,S ASIA,6424
FAR EASTERN,FINISHED GOODS - COMPONENTS,APPAREL,NIKE,FAR EASTERN,TAOYUAN,TAOYUAN,328,Taiwan,N ASIA,1
FAR EASTERN APPARAL SUZHOU LTD. CO,FINISHED GOODS,APPAREL,NIKE,FAR EASTERN,SUZHOU,JIANGSU,215128,China,N ASIA,1019
FAR EASTERN APPAREL (VIETNAM) LIMITED,FINISHED GOODS,APPAREL,NIKE,FAR EASTERN,THUAN AN,BíNH DUONG,75000,Vietnam,SE ASIA,3385
FAR EASTERN APPAREL LIMITED VIETNAM,FINISHED GOODS,APPAREL,NIKE,FAR EASTERN,BINH DUONG,BíNH DUONG,750000,Vietnam,SE ASIA,1089
FAR EASTERN NEW APPAREL (VIETNAM) LTD (MDC),FINISHED GOODS,APPAREL,NIKE,FAR EASTERN,BINH PHUOC,BíNH PHUC,830000,Vietnam,SE ASIA,2986
"FASHION GARMENTS 2 CO., LTD - UNIT 1",FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),BIEN HOA,_NG NAI,810000,Vietnam,SE ASIA,368
"FASHION GARMENTS 2 CO., LTD - XUAN TAY",FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),XUAN TAY,_NG NAI,810000,Vietnam,SE ASIA,560
"FASHION GARMENTS LTD., UNIT 2",FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),BIEN HOA,_NG NAI,810000,Vietnam,SE ASIA,1612
FE NEW CENTURY INDUSTRY (SINGAPORE) PTE LTD,FINISHED GOODS - COMPONENTS,APPAREL,NIKE,FAR EASTERN,SUZHOU,JIANGSU,215128,China,N ASIA,1
"FENG TAY ENTERPRISE CO., LTD",FINISHED GOODS,FOOTWEAR,NIKE,FENG TAY,DOU LIOU,YUNLIN,640,Taiwan,N ASIA,1873
FIBRAN CIA. LTDA.,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),QUITO,PICHINCHA,,Ecuador,AMERICAS,738
FITA TEKSTIL KONF.LTD.STI,FINISHED GOODS,APPAREL,NIKE,YESIM,BURSA,BURSA,16100,Turkey,EMEA,438
"FJORD, LTD.",FINISHED GOODS,APPAREL,NIKE,TEGRA,WOODBURN,OREGON,97071,United States of America,AMERICAS,116
FOOTMARK CAMBODIA CORPORATION,FINISHED GOODS,APPAREL,NIKE,FOOTMARK,PHNOM PENH,KANDAAL,,Cambodia,SE ASIA,160
"FORMOSA TAFFETA CO., LTD",MATERIALS,MATERIALS,NIKE,FORMOSA TAFFETA (FTC),TOULIU,,640,Taiwan,N ASIA,
"FORMOSA TAFFETA CO., LTD (CHINA)",MATERIALS,MATERIALS,NIKE,FORMOSA TAFFETA (FTC),CHANGSHU,JIANGSU,215500,China,N ASIA,
"FORMOSA TAFFETA, CO LTD VIETNAM",MATERIALS,MATERIALS,NIKE,FORMOSA TAFFETA (FTC),BEN LUC,LONG AN,NA,Vietnam,SE ASIA,
FRAMAS KOREA,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,NO GROUP (FW),ASAN,CHOONGNAM,336-875,South Korea,N ASIA,46
"FRAMAS KOREA VINA CO., LTD",FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,NO GROUP (FW),DONG NAI,_NG NAI,815300,Vietnam,SE ASIA,965
FREETREND VN INDUSTRIAL CO.LTD.,FINISHED GOODS,FOOTWEAR,NIKE,DEAN SHOES,HO CHI MINH,HO CHI MINH,70000,Vietnam,SE ASIA,17560
FRONTLINE IMAGE LIMITED,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),PLYMOUTH,ENGLAND,PL6 7FH,United Kingdom,EMEA,79
FUJIAN FYNEX GARMENT LIMITED LIABILITY COMPANY - XIAMEN BRANCH,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),XIAMEN,FUJIAN,361100,China,N ASIA,78
"FUJIAN LIFENG FOOTWEAR CO., LTD.",FINISHED GOODS,FOOTWEAR,NIKE,FENG TAY,PUTIAN,FUJIAN,351119,China,N ASIA,3799
"FUJIAN SAN FENG FOOTWEAR CO.,LTD",FINISHED GOODS,FOOTWEAR,NIKE,FENG TAY,FUZHOU,FUJIAN,350018,China,N ASIA,3203
"FUJIAN XIEFENG FOOTWEAR CO.,LTD.",FINISHED GOODS,FOOTWEAR,NIKE,FENG TAY,PUTIAN,FUJIAN,351131,China,N ASIA,4596
"FU-LUH SHOES CO., LTD",FINISHED GOODS,FOOTWEAR,NIKE,CHINGLUH,LONG AN,LONG AN,82500,Vietnam,SE ASIA,12190
"FUTURE GARMENT CO., LTD.",FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),BANGKOK,BANGKOK,10120,Thailand,SE ASIA,449
GAIN LUCKY,MATERIALS,MATERIALS,NIKE,NINGBO,PHUOC DONG,TAY NINH,n/a,Vietnam,SE ASIA,
GB LIGHT (KOREA),MATERIALS,MATERIALS,NIKE,GB LIGHT,BUSAN,BUSAN,618-820,South Korea,N ASIA,
GB LIGHT (VIETNAM),MATERIALS,MATERIALS,NIKE,GB LIGHT,THU DAU MOT,BINH DUONG,0,Vietnam,SE ASIA,
GERMTON INDUSTRIAL COMPANY LTD.,FINISHED GOODS,APPAREL,"NIKE, Converse",GERMTON,HUONG AN COMMUNE,QUNG NAM,560000,Vietnam,SE ASIA,2806
GIANEL SHOES SRL,FINISHED GOODS,FOOTWEAR,NIKE,GIANEL,CASARANO,LECCE,73042,Italy,EMEA,121
GILDAN ACTIVEWEAR SAN MIGUEL S.A.,FINISHED GOODS,APPAREL,NIKE,GILDAN,CHOLOMA,CORTƒS,0,Honduras,AMERICAS,5770
GILDAN APPAREL USA INC. (VILLANUEVA),FINISHED GOODS,APPAREL,NIKE,GILDAN,VILLANUEVA,CORTƒS,0,Honduras,AMERICAS,5665
GILDAN HOSIERY RIO NANCE S DE R.L. RN4,FINISHED GOODS,EQUIPMENT,NIKE,GILDAN,CHOLOMA,YORO,0,Honduras,AMERICAS,1958
GKOGKAS LAMPROS,FINISHED GOODS,APPAREL,NIKE,GKOGKAS LAMPROS,ATHENS,EVVOIA,13341,Greece,EMEA,12
"GLOBAL SALES AND WAREHOUSING, LLC",FINISHED GOODS,EQUIPMENT,NIKE,NO GROUP (AP),OXNARD,CALIFORNIA,93030,United States of America,AMERICAS,36
GOLD LONG JOHN CHINA,MATERIALS,MATERIALS,NIKE,GOLD LONG JOHN,ZHONGSHAN,GUANGDONG,528400,China,N ASIA,
"GREEN TG CO., LTD",FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),CHAU THANH DISTRICT,TIN GIANG,84000,Vietnam,SE ASIA,927
"GREEN VINA CO., LTD.",FINISHED GOODS,APPAREL,NIKE,GREEN TEXTILES,THUAN AN,BíNH DUONG,590000,Vietnam,SE ASIA,1761
"GREENTECH HEADGEAR CO., LTD",FINISHED GOODS,APPAREL,NIKE,ASIAN SOURCING HEADWEAR,NHON TRACH,_NG NAI,810000,Vietnam,SE ASIA,1680
"GUANG YANG SPORTING CO., LTD",FINISHED GOODS,EQUIPMENT,NIKE,SHOETOWN,QING YUAN,GUANGDONG,511800,China,N ASIA,608
GUARDLAB INC,FINISHED GOODS,EQUIPMENT,NIKE,NO GROUP (EQ),FARMINGDALE,NEW YORK,11735,United States of America,AMERICAS,8
H&H SCREENING & GRAPHICS INC.,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),VISTA,CALIFORNIA,92081,United States of America,AMERICAS,27
"H&L APPAREL(VIETNAM) CO.,LTD",FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),BEN CAT DISTRICT,BíNH DUONG,590000,Vietnam,SE ASIA,850
HA NOI GARMENT NO. 40 JOINT STOCK COMPANY,FINISHED GOODS,APPAREL,NIKE,MAXPORT,HA NOI CITY,HA NOI,80000,Vietnam,SE ASIA,316
"HAIYAN GOLDEN GATE SOCKS INDUSTRY CO., LTD",FINISHED GOODS,EQUIPMENT,Converse,NO GROUP (EQ),HAIYAN,ZHEJIANG,314300,China,N ASIA,91
HAPCO SCREEN PRINTING,FINISHED GOODS,APPAREL,Converse,NO GROUP (AP),"EMMAUS,",PENNSYLVANIA,18049,United States of America,AMERICAS,27
HAYAFUJI,FINISHED GOODS,FOOTWEAR,NIKE,HAYAFUJI,KYOTO-SHI,KYOTO,603-8487,Japan,N ASIA,5
"HB SPORTS - NEW HOLLAND LINGERIE DE HONDURAS, S.A.",FINISHED GOODS - COMPONENTS,APPAREL,NIKE,TEGRA,SAN PEDRO SULA,CORTƒS,CA,Honduras,AMERICAS,1594
HESHAN TOP EAGLE GARMENT LTD,FINISHED GOODS,APPAREL,NIKE,NICE APPAREL,HESHAN,GUANGDONG,529727,China,N ASIA,780
"HI TECH APPAREL CAMBODIA CO., LTD",FINISHED GOODS,APPAREL,NIKE,HI TECH,POIPET CITY,BANTEAY MEAN CHEY,0,Cambodia,SE ASIA,4224
"HI TECH APPAREL CO LTD, BRANCH 70",FINISHED GOODS,APPAREL,NIKE,HI TECH,BANGKRU,,10130,Thailand,SE ASIA,1165
HI TECH APPAREL SURIN BRANCH,FINISHED GOODS,APPAREL,NIKE,HI TECH,THATOOM,,32120,Thailand,SE ASIA,799
HIGUCHI KABAN KOBO,FINISHED GOODS,EQUIPMENT,NIKE,CROSTER,SAITAMA,SAITAMA,332-0011,Japan,N ASIA,26
HIT SUPHANBURI,FINISHED GOODS,APPAREL,NIKE,HI TECH,SUPHANBURI,SUPHAN BURI,72000,Thailand,SE ASIA,525
HI-TECH APPAREL CO. LTD.SOI91,FINISHED GOODS,APPAREL,NIKE,HI TECH,BANGKOK,CHON BURI,10140,Thailand,SE ASIA,1165
"HI-TECH CHAIYAPHUM APPAREL 2011 CO.,LTD.",FINISHED GOODS,APPAREL,NIKE,HI TECH,MUANG,CHAIYAPHUM,36000,Thailand,SE ASIA,1245
"HI-TECH CHAIYAPHUM APPAREL CO.,LTD.",FINISHED GOODS,APPAREL,NIKE,HI TECH,MUANG,CHAIYAPHUM,36000,Thailand,SE ASIA,617
"HI-TECH VIET NAM APPAREL CO.,LTD.",FINISHED GOODS,APPAREL,NIKE,HI TECH,DUY XUYEN DISTRICT,QUNG NAM,560000,Vietnam,SE ASIA,1458
HONG SENG KNITTING COMPANY LIMITED.,FINISHED GOODS,APPAREL,NIKE,HONG SENG,RATHJABURANA,CHON BURI,10140,Thailand,SE ASIA,2234
HONG SENG THAI-VINA COMPANY LIMITED,FINISHED GOODS,APPAREL,NIKE,HONG SENG,DUC HOA DISTRICT,LONG AN,850000,Vietnam,SE ASIA,807
"HONG SHENG LEATHER DONGGUAN IND. CO., LTD",FINISHED GOODS,EQUIPMENT,NIKE,GUANG DER,DONG GUAN,GUANGDONG,523121,China,N ASIA,476
HONSIN APPAREL SDN. BHD.,FINISHED GOODS,APPAREL,NIKE,HONSIN,BATU PAHAT,JOHOR,83000,Malaysia,S ASIA,1054
